epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.247,1.46207,2.56509,1.55557,0.57593,0.09942,0.24965,0.10883,1.82669,3.57639,1.86345,0.000657895,0.000657895,0.000657895
2,319.51,1.60122,2.12565,1.62575,0.24973,0.2846,0.18228,0.06432,2.24812,3.80015,2.35187,0.001318,0.001318,0.001318
3,476.856,1.64406,1.90674,1.65181,0.29379,0.31464,0.19227,0.07021,2.25708,3.06664,2.34505,0.00197151,0.00197151,0.00197151
4,636.24,1.68252,1.79971,1.66542,0.30315,0.41326,0.33486,0.1236,2.16289,3.18861,2.33516,0.0019703,0.0019703,0.0019703
5,797.598,1.6153,1.64135,1.62019,0.29196,0.29825,0.1926,0.0727,2.17779,3.01673,2.19859,0.0019604,0.0019604,0.0019604
6,958.116,1.59488,1.5557,1.59965,0.31,0.46004,0.26984,0.10688,2.00533,2.47268,1.93999,0.0019505,0.0019505,0.0019505
7,1118.8,1.56331,1.48644,1.57416,0.35074,0.44444,0.30859,0.10975,2.08253,2.38124,1.99005,0.0019406,0.0019406,0.0019406
8,1279.29,1.50636,1.43413,1.53246,0.5122,0.49708,0.49988,0.22351,1.89051,1.85519,1.82725,0.0019307,0.0019307,0.0019307
9,1439.91,1.4777,1.40355,1.52113,0.43425,0.45419,0.38704,0.17305,2.00867,1.94875,1.86452,0.0019208,0.0019208,0.0019208
10,1601.48,1.46676,1.35158,1.50835,0.57136,0.54191,0.55673,0.28865,1.78562,1.79784,1.75232,0.0019109,0.0019109,0.0019109
11,1761.91,1.42173,1.29042,1.47636,0.67154,0.49903,0.56408,0.28415,1.83229,1.69334,1.70161,0.001901,0.001901,0.001901
12,1921.99,1.43322,1.28723,1.48097,0.48429,0.50097,0.49005,0.23122,1.84682,1.74981,1.75465,0.0018911,0.0018911,0.0018911
13,2082.24,1.38869,1.23435,1.43912,0.5904,0.60819,0.5979,0.28293,1.77817,1.69147,1.71774,0.0018812,0.0018812,0.0018812
14,2242.02,1.35977,1.18377,1.43426,0.52541,0.53519,0.55481,0.28823,1.75084,1.6878,1.71129,0.0018713,0.0018713,0.0018713
15,2401.9,1.39456,1.20448,1.4314,0.55014,0.41326,0.44077,0.20822,1.9545,2.00636,1.87525,0.0018614,0.0018614,0.0018614
16,2562.04,1.3459,1.17175,1.4133,0.63213,0.58282,0.60468,0.31324,1.65699,1.55549,1.62657,0.0018515,0.0018515,0.0018515
17,2722.68,1.37272,1.17545,1.42247,0.64632,0.57708,0.63336,0.34137,1.66719,1.5228,1.5984,0.0018416,0.0018416,0.0018416
18,2883.64,1.35116,1.16628,1.41027,0.56369,0.49318,0.50896,0.23849,1.85436,1.80089,1.77415,0.0018317,0.0018317,0.0018317
19,3044.52,1.30573,1.13177,1.39133,0.54381,0.58674,0.58147,0.30244,1.72965,1.57827,1.70729,0.0018218,0.0018218,0.0018218
20,3205.03,1.28424,1.13904,1.37821,0.58607,0.59063,0.58685,0.29151,1.67587,1.55923,1.6048,0.0018119,0.0018119,0.0018119
21,3365.69,1.26906,1.09166,1.36061,0.6494,0.58869,0.60617,0.33497,1.70472,1.55053,1.63763,0.001802,0.001802,0.001802
22,3526.79,1.30348,1.12112,1.38748,0.66238,0.5575,0.62837,0.34141,1.62915,1.48726,1.60988,0.0017921,0.0017921,0.0017921
23,3688.47,1.29988,1.12972,1.38016,0.63139,0.57505,0.61885,0.30975,1.69517,1.51274,1.62442,0.0017822,0.0017822,0.0017822
24,3849.97,1.267,1.09965,1.34933,0.61222,0.55361,0.59742,0.31041,1.66578,1.54184,1.61737,0.0017723,0.0017723,0.0017723
25,4011.15,1.24584,1.0578,1.34065,0.6063,0.58238,0.60735,0.33075,1.63249,1.42067,1.62122,0.0017624,0.0017624,0.0017624
26,4171.84,1.24563,1.04484,1.33357,0.65135,0.58285,0.612,0.3273,1.68945,1.49067,1.66684,0.0017525,0.0017525,0.0017525
27,4332.55,1.26984,1.06212,1.34089,0.76797,0.58066,0.66367,0.36458,1.60841,1.35546,1.5934,0.0017426,0.0017426,0.0017426
28,4493.23,1.23981,1.00571,1.33655,0.67807,0.55429,0.64049,0.34214,1.58636,1.40669,1.5357,0.0017327,0.0017327,0.0017327
29,4654.16,1.22567,1.02754,1.33122,0.72271,0.60458,0.6713,0.35821,1.60836,1.40737,1.56607,0.0017228,0.0017228,0.0017228
30,4815.14,1.25422,1.03991,1.34429,0.66009,0.5224,0.58315,0.2877,1.75824,1.53792,1.69069,0.0017129,0.0017129,0.0017129
31,4975.55,1.21697,0.98846,1.32382,0.69547,0.59454,0.65434,0.34012,1.6436,1.37878,1.55779,0.001703,0.001703,0.001703
